round_epochs,val_loss,val_acc,loss,acc,lr,optimizer
15,3.5755164988524912,0.14680929533650805,3.686701422333306,0.06611835570015039,0.001,<class 'keras.optimizers.Adadelta'>
15,0.14668200567381182,0.9645272403365496,0.19778215987350878,0.9464782204267176,0.1,<class 'keras.optimizers.Adam'>
15,3.3779685899485203,0.25580966427004326,3.57958544620417,0.109051909407665,0.001,<class 'keras.optimizers.RMSprop'>
15,3.5637068917914596,0.18117545816447775,3.6856350993384375,0.07558628031942936,0.001,<class 'keras.optimizers.Adam'>
15,0.8221607648635957,0.7940489360727127,1.2366505521143896,0.6783911379732871,0.01,<class 'keras.optimizers.Adam'>
15,0.1540681135093068,0.9614533438653827,0.22270649802397405,0.9411636129304524,0.1,<class 'keras.optimizers.RMSprop'>
15,3.6393955709250316,0.11982048405766062,3.741002995510422,0.057668267247169544,0.01,<class 'keras.optimizers.SGD'>
15,0.8033500690016376,0.7901758258154834,1.2312888142533096,0.6656511083146234,0.1,<class 'keras.optimizers.SGD'>
15,0.9133294129612026,0.7708102786847326,1.337623041662876,0.6504655413039546,0.01,<class 'keras.optimizers.Adadelta'>
15,0.17117746996665945,0.9585638774668146,0.2551497427191139,0.9329184585595498,0.1,<class 'keras.optimizers.Adadelta'>
15,0.8506529991893212,0.7828599525952008,1.2716268342190915,0.6661975984682843,0.01,<class 'keras.optimizers.RMSprop'>
15,3.870926425742235,0.029202016063843445,3.911664161196852,0.025937740797104775,0.001,<class 'keras.optimizers.SGD'>
