round_epochs,val_loss,val_acc,loss,acc,lr,amsgrad
20,0.6551614635019714,0.8318578612975905,1.016389008261812,0.73346358111371,1e-05,False
20,15.671196214419574,0.02772654578058567,15.704261218827472,0.025582522878253838,0.01,False
20,0.1472627740828798,0.9670478374363238,0.15417947646901697,0.9615886481216125,0.001,False
20,0.1526931913423682,0.9613303873909219,0.20786495391301318,0.9439780326345907,0.0001,True
20,0.12919356189783834,0.9684618310296315,0.12250115302308892,0.9677776398454941,0.001,True
20,0.13668666775517563,0.9665560093398583,0.151575747747906,0.9584053483088264,0.0001,False
20,3.8005069047927154,0.02772654578058567,3.7965173187551233,0.02648422996258615,0.01,True
20,0.8754514249417962,0.7775113708738705,1.287268808567689,0.6634514892725636,1e-05,True
